t,retail_sales_MoM_change
1984-02-01,0.012376237623762387
1984-03-01,-0.04278728606356963
1984-04-01,0.026819923371647514
1984-05-01,-0.017412935323383172
1984-06-01,0.013924050632911245
1984-07-01,0.011235955056179803
1984-08-01,-0.014814814814814836
1984-09-01,0.02506265664160412
1984-10-01,-0.02444987775061125
1984-11-01,-0.018796992481203034
1984-12-01,0.0370370370370372
1985-01-01,0.0
1985-02-01,-0.012315270935960632
1985-03-01,0.018703241895261735
1985-04-01,-0.028151774785801664
1985-05-01,0.016372795969773257
1985-06-01,-0.00495662949194553
1985-07-01,0.021170610211706187
1985-08-01,-0.0012195121951218413
1985-09-01,-0.009768009768009955
1985-10-01,0.006165228113440113
1985-11-01,0.001225490196078427
1985-12-01,-0.020807833537331732
1986-01-01,0.011249999999999982
1986-02-01,0.006180469715698411
1986-03-01,-0.0012285012285013774
1986-04-01,0.02829028290282909
1986-05-01,0.0
1986-06-01,0.005980861244019087
1986-07-01,-0.021403091557669396
1986-08-01,0.0060753341433779084
1986-09-01,0.012077294685990392
1986-10-01,-0.010739856801909253
1986-11-01,-0.0012062726176116367
1986-12-01,0.013285024154589431
1987-01-01,-0.0011918951132301459
1987-02-01,0.007159904534606243
1987-03-01,-0.007109004739336622
1987-04-01,0.026252983293556076
1987-05-01,-0.011627906976744207
1987-06-01,-0.003529411764705892
1987-07-01,0.024793388429751984
1987-08-01,0.0011520737327190833
1987-09-01,-0.020713463751438566
1987-10-01,0.024676850763807323
1987-11-01,0.01261467889908241
1987-12-01,-0.009060022650056565
1988-01-01,0.0034285714285713365
1988-02-01,-0.006833712984054552
1988-03-01,0.053899082568807266
1988-04-01,-0.09249183895538626
1988-05-01,0.08033573141486805
1988-06-01,-0.023307436182019914
1988-07-01,0.007954545454545547
1988-08-01,-0.005636978579481422
1988-09-01,0.00340136054421758
1988-10-01,0.009039548022598876
1988-11-01,0.004479283314669624
1988-12-01,0.00557413600891854
1989-01-01,0.0011086474501107446
1989-02-01,0.0
1989-03-01,-0.009966777408637828
1989-04-01,0.004474272930648615
1989-05-01,-0.00445434298440972
1989-06-01,0.01342281879194629
1989-07-01,-0.017660044150110354
1989-08-01,0.024719101123595433
1989-09-01,-0.009868421052631637
1989-10-01,0.01661129568106312
1989-11-01,0.0
1989-12-01,0.020697167755991286
1990-01-01,-0.017075773745998002
1990-02-01,0.02062975027144409
1990-03-01,0.010638297872340496
1990-04-01,0.0031578947368420263
1990-05-01,0.014690451206715638
1990-06-01,-0.02171664943123075
1990-07-01,0.04968287526427062
1990-08-01,0.001007049345417954
1990-09-01,0.006036217303822866
